id,weight,X1_1,X1_2,X1_3,X1_4,X1_5,X1_6,X1_7,X1_8,X1_9,X1_10,X1_11,X1_12,X1_13,X1_14,X1_15,X1_16,X1_17,X1_18,X1_19,X1_20,X1_21,X1_22,X1_23,X1_24,X1_25,X1_26,X1_27,X1_28,X1_29,X1_30,X1_31,X1_32,X1_33,X1_34,X1_35,X1_36,X1_37,X1_38,X1_39,X1_40,X1_41,X1_42,X1_43,X1_44,X1_45,X1_46,X1_47,X1_48,X1_49,X1_50,att_thresh
90,1,-1.406229702,-0.890826966,2.41295489,-0.710899202,-0.850536041,-0.534574607,-0.608477581,-0.545433997,-0.754375047,-0.854682059,0.580691923,0.51332612,1.783411729,0.02238101,0.740252141,-0.344102481,-0.485842955,-1.028731001,-1.01809889,-0.468171891,1.928515371,2.184161085,2.156669441,2.169065709,-0.219020797,-4.311954513,-3.201736573,-0.044073833,0.088012879,-0.328042929,-0.660068793,-0.823724247,-0.84953397,0.674579695,0.436796185,2.82220193,2.547759315,2.301636686,3.003899779,2.564083855,-1.463839644,-2.976872441,-2.541691758,1.695900701,0.725930641,-0.261186549,-0.429012453,-0.674193215,-1.060208741,-1.00608821,-4.59
92,1,-0.180878927,1.402252252,-0.309646436,-1.32868606,-0.840070204,-0.396617052,-0.442727763,0.238773648,-0.294385317,-0.689873539,0.9679517,0.627259943,0.538067599,0.655026683,1.200772249,0.807799157,1.428272857,1.056898721,0.905509157,-0.11904011,-0.232127671,-0.0801497,0.13793037,0.440104144,0.629496222,-2.091650507,-1.41288035,-0.561874117,-0.932737717,-0.443828903,-0.93983203,-2.494894138,-2.372691825,-0.671664367,-0.747666312,3.113044015,3.316298658,3.029374163,3.691568438,3.061022513,-2.624507791,-2.948669742,-3.344529731,2.141343699,-0.147864353,-0.589310437,-0.320399557,-0.712327412,-0.668723547,-0.44851057,0.32
98,1,-1.704923475,1.411752094,1.465409948,-0.365718489,1.732810668,-0.655313901,-0.60475427,0.074761317,0.367132334,-0.225979173,0.082225291,0.032415982,0.817707385,0.189940983,-1.452310215,0.842216547,1.033969756,0.29099444,0.709561928,1.957337454,1.941180385,2.13831381,2.813387623,2.341256915,1.170213984,-3.65941703,-2.349478769,0.443324088,0.523291121,0.787654309,0.029852453,-3.973630659,-4.772816578,-1.771202836,-1.814794212,0.090277403,0.464480006,0.034382031,0.303255394,-0.043039738,-1.925940481,-2.935611441,-2.399133996,-0.081955091,1.740237099,0.988715544,1.273492365,1.723090435,0.911959132,0.009420127,-4.55
101,1,-1.93898628,-2.017489963,1.14954594,1.165025874,0.869884395,-1.353574266,-0.424753939,-1.533946536,-1.644011514,-0.495253385,0.179645941,0.204096382,1.78283394,-0.459505479,-0.183353536,-1.761041412,-1.896132506,-2.112671943,-2.332679939,0.950750717,0.871035195,1.297070511,1.070456137,1.375234461,0.357278333,-3.111767068,-1.69856527,1.984312285,1.775949977,1.947120644,1.289243919,-1.177982006,-1.5585897,0.057114121,-0.420653244,2.091445366,1.719229352,1.655688408,2.490434337,1.43279647,-2.235407947,-4.004288183,-3.167655264,1.3634798,1.903510699,0.714319387,1.681380139,1.848080913,0.721179109,-0.419833371,-1.61
102,1,-3.375045913,-1.778637308,1.585524802,2.818950489,4.316454916,-0.861333608,-1.128458115,-0.971339362,-1.753434454,0.011376334,-2.417310513,-3.783221899,2.761600393,-3.409781874,-1.925809758,-1.247695649,-1.325023011,-0.271168272,-1.547052988,4.193446675,1.627096529,0.920589221,1.204983615,1.129122637,1.406451053,-1.636913084,-0.957375807,3.40226663,4.926254113,3.844366921,3.5744981,-3.897777248,-3.832143945,-1.620441936,-1.815313425,-0.54937909,-1.172871057,-1.235497504,-0.388937198,-0.506189296,2.734266163,2.271277108,2.166106258,-1.173667126,0.396633688,-1.480000388,0.059810988,0.846659473,1.061220532,-1.197136813,-2.74
105,1,-1.085885051,0.513464654,0.482233884,-0.257149882,0.917987758,-0.498739397,-0.630756401,-0.475262195,-0.692088039,-0.58281742,0.012816564,-0.22821544,0.507246339,-0.135642861,0.005792228,0.189434562,0.193738708,0.067108964,-0.007526178,0.808257031,0.575656057,1.041133952,0.915896512,0.805511739,0.519001604,-1.676524154,-0.862364496,0.401204088,-0.054272423,0.248445645,-0.052149128,-1.23475873,-1.931559038,-0.030921255,-0.455583881,1.363543017,1.66864045,1.206677651,1.410988407,1.173220746,-2.730590698,-3.73782824,-3.495727895,1.064721532,1.091007485,0.201194918,0.991051115,0.864733286,1.67913673,-0.063482827,-1.12
107,1,-0.47712811,0.027037063,0.346897412,-0.504188728,0.580184674,0.405104872,0.44360063,0.498912446,-0.142329846,0.37787616,0.408518674,-1.007953412,1.659662265,-0.66106092,0.527833563,0.03505499,0.244586223,0.60324688,0.13206192,0.360288397,0.365947679,0.175332797,0.357716957,0.28961702,0.537756058,-1.331130089,-0.927563235,-0.213325135,0.293293429,0.076988673,0.064188615,-2.427562299,-2.244852141,-0.753251161,-0.811033647,2.225150437,2.230319978,1.709622047,2.375771484,1.991307852,-0.961452791,-0.8919937,-1.422255042,1.079488596,-0.858128407,-1.351550356,-1.11934108,-1.227913494,0.057569664,-1.146923857,-3.28
111,1,-1.327334356,-0.633095689,2.430413245,-0.670662854,-0.561340619,1.462631111,1.524759719,1.887513124,1.554175173,0.4764441,-0.36287201,-0.614647513,2.176068696,-0.73129596,-0.971844851,0.052303972,0.438669359,0.530638164,0.047650953,0.046611325,1.967989879,1.75624748,1.604222253,2.056358743,1.125791841,-3.627542201,-3.143684051,-0.20630529,0.28233518,-0.737777956,-0.194444688,-3.127512289,-2.834509866,-0.775806348,-0.820085622,0.567589611,0.094287656,0.170089193,0.96501792,0.469348761,-0.079761825,-0.516440419,-0.799107632,0.307774534,0.386987276,0.531418834,0.221722869,-0.880264479,-1.524720202,0.005995752,-1.57
113,1,-1.340621695,-0.207613567,0.794354991,-1.985336354,-0.756503755,0.167069616,0.380543007,0.57859736,-0.030435954,0.59844441,-0.0530415,-0.844429834,0.838207403,-0.53958583,-0.080138071,0.351348062,0.04753768,0.521923276,0.051343371,-0.190248824,0.710193353,0.888700824,1.11673022,1.06295648,0.476954767,-2.12100295,-1.817276342,-1.751284166,-1.457867153,-2.109910917,-1.347080659,-3.140239504,-3.192876803,-1.404287942,-1.567707466,0.411185669,0.153433179,0.156753339,0.705667831,0.931176351,3.340804104,2.769541413,2.705090698,0.794398176,1.408620015,1.339164555,1.072399496,0.261115841,-0.14038869,1.44362249,-1.51
131,1,-1.914215625,1.753580192,1.542765249,-0.616013266,0.411416297,1.459665402,1.856105877,2.076534392,2.262730404,1.35671521,-1.422304381,-1.477001485,0.884989621,-1.162014561,-2.726950393,1.501724038,2.167853058,2.078828581,2.017048463,1.019778252,1.850014149,1.673481665,2.380819875,2.060695497,2.288417344,-2.960172006,-1.930186305,-0.034308407,-0.174927643,-0.109264736,-0.229580734,-4.62028354,-4.923661763,-1.702126469,-1.611583211,-1.855668382,-1.78510966,-1.586131258,-1.600983125,-1.809351677,-1.198118061,-1.462169264,-1.385338857,-1.127111532,1.970876825,2.259576955,2.189994186,1.19942894,-0.351653098,1.513188967,-4.12
