"Preference Share","1 Item","2 Item"
0.125108368731529,"X4","X9"
0.125108368731529,"X6","X9"
0.125108368731529,"X7","X9"
0.125108368731529,"X8","X9"
0.125108368731529,"X9","X10"
0.125108368731529,"X9","X11"
0.125108368731529,"X9","X14"
0.125108368731529,"X9","X15"
0.125108368731529,"X9","X16"
0.125108368731529,"X9","X17"
0.125108368731529,"X9","X19"
0.125108368731529,"X9","X21"
0.125108368731529,"X9","X22"
0.125108368731529,"X9","X24"
0.125108368731529,"X9","X25"
0.125108368731529,"X9","X26"
0.125108368731529,"X9","X27"
0.125108368731529,"X9","X28"
0.125108368731529,"X9","X30"
0.125108368731529,"X9","X31"
0.125108368731529,"X9","X32"
0.125108368731529,"X9","X33"
0.125108368731529,"X9","X34"
0.125108368731529,"X9","X35"
0.125108368731529,"X9","X36"
0.125108368731529,"X9","X37"
0.125108368731529,"X9","X38"
0.125108368731529,"X9","X40"
0.123961115631444,"X1","X29"
0.123961115631444,"X2","X29"
0.123961115631444,"X4","X29"
0.123961115631444,"X6","X29"
0.123961115631444,"X7","X29"
0.123961115631444,"X8","X29"
0.123961115631444,"X10","X29"
0.123961115631444,"X11","X29"
0.123961115631444,"X14","X29"
0.123961115631444,"X15","X29"
0.123961115631444,"X16","X29"
0.123961115631444,"X17","X29"
0.123961115631444,"X19","X29"
0.123961115631444,"X21","X29"
0.123961115631444,"X22","X29"
0.123961115631444,"X24","X29"
0.123961115631444,"X25","X29"
0.123961115631444,"X26","X29"
0.123961115631444,"X27","X29"
0.123961115631444,"X28","X29"
0.123961115631444,"X29","X30"
0.123961115631444,"X29","X31"
0.123961115631444,"X29","X32"
0.123961115631444,"X29","X33"
0.123961115631444,"X29","X34"
0.123961115631444,"X29","X35"
0.123961115631444,"X29","X36"
0.123961115631444,"X29","X37"
0.123961115631444,"X29","X38"
0.123961115631444,"X29","X40"
0.120658986910201,"X1","X13"
0.120658986910201,"X2","X13"
0.120658986910201,"X4","X13"
0.120658986910201,"X6","X13"
0.120658986910201,"X7","X13"
0.120658986910201,"X8","X13"
0.120658986910201,"X10","X13"
0.120658986910201,"X11","X13"
0.120658986910201,"X13","X14"
0.120658986910201,"X13","X15"
0.120658986910201,"X13","X16"
0.120658986910201,"X13","X17"
0.120658986910201,"X13","X19"
0.120658986910201,"X13","X21"
0.120658986910201,"X13","X22"
0.120658986910201,"X13","X24"
0.120658986910201,"X13","X25"
0.120658986910201,"X13","X26"
0.120658986910201,"X13","X27"
0.120658986910201,"X13","X28"
0.120658986910201,"X13","X30"
0.120658986910201,"X13","X31"
0.120658986910201,"X13","X32"
0.120658986910201,"X13","X33"
0.120658986910201,"X13","X34"
0.120658986910201,"X13","X35"
0.120658986910201,"X13","X36"
0.120658986910201,"X13","X37"
0.120658986910201,"X13","X38"
0.120658986910201,"X13","X40"
0.108470179163441,"X1","X18"
0.108470179163441,"X2","X18"
0.108470179163441,"X4","X18"
0.108470179163441,"X6","X18"
0.108470179163441,"X7","X18"
0.108470179163441,"X8","X18"
0.108470179163441,"X10","X18"
0.108470179163441,"X11","X18"
0.108470179163441,"X14","X18"
0.108470179163441,"X15","X18"
0.108470179163441,"X16","X18"
0.108470179163441,"X17","X18"
0.108470179163441,"X18","X19"
0.108470179163441,"X18","X21"
0.108470179163441,"X18","X22"
0.108470179163441,"X18","X24"
0.108470179163441,"X18","X25"
0.108470179163441,"X18","X26"
0.108470179163441,"X18","X27"
0.108470179163441,"X18","X28"
0.108470179163441,"X18","X30"
0.108470179163441,"X18","X31"
0.108470179163441,"X18","X32"
0.108470179163441,"X18","X33"
0.108470179163441,"X18","X34"
0.108470179163441,"X18","X35"
0.108470179163441,"X18","X36"
0.108470179163441,"X18","X37"
0.108470179163441,"X18","X38"
0.108470179163441,"X18","X40"
0.097347547197577,"X1","X12"
0.097347547197577,"X2","X12"
0.097347547197577,"X4","X12"
0.097347547197577,"X6","X12"
0.097347547197577,"X7","X12"
0.097347547197577,"X8","X12"
0.097347547197577,"X10","X12"
0.097347547197577,"X11","X12"
0.097347547197577,"X12","X14"
0.097347547197577,"X12","X15"
0.097347547197577,"X12","X16"
0.097347547197577,"X12","X17"
0.097347547197577,"X12","X19"
0.097347547197577,"X12","X21"
0.097347547197577,"X12","X22"
0.097347547197577,"X12","X24"
0.097347547197577,"X12","X25"
0.097347547197577,"X12","X26"
0.097347547197577,"X12","X27"
0.097347547197577,"X12","X28"
0.097347547197577,"X12","X30"
0.097347547197577,"X12","X31"
0.097347547197577,"X12","X32"
0.097347547197577,"X12","X33"
0.097347547197577,"X12","X34"
0.097347547197577,"X12","X35"
0.097347547197577,"X12","X36"
0.097347547197577,"X12","X37"
0.097347547197577,"X12","X38"
0.097347547197577,"X12","X40"
0,"X1","X2"
0,"X1","X4"
0,"X1","X6"
0,"X1","X7"
0,"X1","X8"
0,"X1","X10"
0,"X1","X11"
0,"X1","X14"
0,"X1","X15"
0,"X1","X16"
0,"X1","X17"
0,"X1","X19"
0,"X1","X21"
0,"X1","X22"
0,"X1","X24"
0,"X1","X25"
0,"X1","X26"
0,"X1","X27"
0,"X1","X28"
0,"X1","X30"
0,"X1","X31"
0,"X1","X32"
0,"X1","X33"
0,"X1","X34"
0,"X1","X35"
0,"X1","X36"
0,"X1","X37"
0,"X1","X38"
0,"X1","X40"
0,"X2","X4"
0,"X2","X6"
0,"X2","X7"
0,"X2","X8"
0,"X2","X10"
0,"X2","X11"
0,"X2","X14"
0,"X2","X15"
0,"X2","X16"
0,"X2","X17"
0,"X2","X19"
0,"X2","X21"
0,"X2","X22"
0,"X2","X24"
0,"X2","X25"
0,"X2","X26"
0,"X2","X27"
0,"X2","X28"
0,"X2","X30"
0,"X2","X31"
0,"X2","X32"
0,"X2","X33"
0,"X2","X34"
0,"X2","X35"
0,"X2","X36"
0,"X2","X37"
0,"X2","X38"
0,"X2","X40"
0,"X4","X6"
0,"X4","X7"
0,"X4","X8"
0,"X4","X10"
0,"X4","X11"
0,"X4","X14"
0,"X4","X15"
0,"X4","X16"
0,"X4","X17"
0,"X4","X19"
0,"X4","X21"
0,"X4","X22"
0,"X4","X24"
0,"X4","X25"
0,"X4","X26"
0,"X4","X27"
0,"X4","X28"
0,"X4","X30"
0,"X4","X31"
0,"X4","X32"
0,"X4","X33"
0,"X4","X34"
0,"X4","X35"
0,"X4","X36"
0,"X4","X37"
0,"X4","X38"
0,"X4","X40"
0,"X6","X7"
0,"X6","X8"
0,"X6","X10"
0,"X6","X11"
0,"X6","X14"
0,"X6","X15"
0,"X6","X16"
0,"X6","X17"
0,"X6","X19"
0,"X6","X21"
0,"X6","X22"
0,"X6","X24"
0,"X6","X25"
0,"X6","X26"
0,"X6","X27"
0,"X6","X28"
0,"X6","X30"
0,"X6","X31"
0,"X6","X32"
0,"X6","X33"
0,"X6","X34"
0,"X6","X35"
0,"X6","X36"
0,"X6","X37"
0,"X6","X38"
0,"X6","X40"
0,"X7","X8"
0,"X7","X10"
0,"X7","X11"
0,"X7","X14"
0,"X7","X15"
0,"X7","X16"
0,"X7","X17"
0,"X7","X19"
0,"X7","X21"
0,"X7","X22"
0,"X7","X24"
0,"X7","X25"
0,"X7","X26"
0,"X7","X27"
0,"X7","X28"
0,"X7","X30"
0,"X7","X31"
0,"X7","X32"
0,"X7","X33"
0,"X7","X34"
0,"X7","X35"
0,"X7","X36"
0,"X7","X37"
0,"X7","X38"
0,"X7","X40"
0,"X8","X10"
0,"X8","X11"
0,"X8","X14"
0,"X8","X15"
0,"X8","X16"
0,"X8","X17"
0,"X8","X19"
0,"X8","X21"
0,"X8","X22"
0,"X8","X24"
0,"X8","X25"
0,"X8","X26"
0,"X8","X27"
0,"X8","X28"
0,"X8","X30"
0,"X8","X31"
0,"X8","X32"
0,"X8","X33"
0,"X8","X34"
0,"X8","X35"
0,"X8","X36"
0,"X8","X37"
0,"X8","X38"
0,"X8","X40"
0,"X10","X11"
0,"X10","X14"
0,"X10","X15"
0,"X10","X16"
0,"X10","X17"
0,"X10","X19"
0,"X10","X21"
0,"X10","X22"
0,"X10","X24"
0,"X10","X25"
0,"X10","X26"
0,"X10","X27"
0,"X10","X28"
0,"X10","X30"
0,"X10","X31"
0,"X10","X32"
0,"X10","X33"
0,"X10","X34"
0,"X10","X35"
0,"X10","X36"
0,"X10","X37"
0,"X10","X38"
0,"X10","X40"
0,"X11","X14"
0,"X11","X15"
0,"X11","X16"
0,"X11","X17"
0,"X11","X19"
0,"X11","X21"
0,"X11","X22"
0,"X11","X24"
0,"X11","X25"
0,"X11","X26"
0,"X11","X27"
0,"X11","X28"
0,"X11","X30"
0,"X11","X31"
0,"X11","X32"
0,"X11","X33"
0,"X11","X34"
0,"X11","X35"
0,"X11","X36"
0,"X11","X37"
0,"X11","X38"
0,"X11","X40"
0,"X14","X15"
0,"X14","X16"
0,"X14","X17"
0,"X14","X19"
0,"X14","X21"
0,"X14","X22"
0,"X14","X24"
0,"X14","X25"
0,"X14","X26"
0,"X14","X27"
0,"X14","X28"
0,"X14","X30"
0,"X14","X31"
0,"X14","X32"
0,"X14","X33"
0,"X14","X34"
0,"X14","X35"
0,"X14","X36"
0,"X14","X37"
0,"X14","X38"
0,"X14","X40"
0,"X15","X16"
0,"X15","X17"
0,"X15","X19"
0,"X15","X21"
0,"X15","X22"
0,"X15","X24"
0,"X15","X25"
0,"X15","X26"
0,"X15","X27"
0,"X15","X28"
0,"X15","X30"
0,"X15","X31"
0,"X15","X32"
0,"X15","X33"
0,"X15","X34"
0,"X15","X35"
0,"X15","X36"
0,"X15","X37"
0,"X15","X38"
0,"X15","X40"
0,"X16","X17"
0,"X16","X19"
0,"X16","X21"
0,"X16","X22"
0,"X16","X24"
0,"X16","X25"
0,"X16","X26"
0,"X16","X27"
0,"X16","X28"
0,"X16","X30"
0,"X16","X31"
0,"X16","X32"
0,"X16","X33"
0,"X16","X34"
0,"X16","X35"
0,"X16","X36"
0,"X16","X37"
0,"X16","X38"
0,"X16","X40"
0,"X17","X19"
0,"X17","X21"
0,"X17","X22"
0,"X17","X24"
0,"X17","X25"
0,"X17","X26"
0,"X17","X27"
0,"X17","X28"
0,"X17","X30"
0,"X17","X31"
0,"X17","X32"
0,"X17","X33"
0,"X17","X34"
0,"X17","X35"
0,"X17","X36"
0,"X17","X37"
0,"X17","X38"
0,"X17","X40"
0,"X19","X21"
0,"X19","X22"
0,"X19","X24"
0,"X19","X25"
0,"X19","X26"
0,"X19","X27"
0,"X19","X28"
0,"X19","X30"
0,"X19","X31"
0,"X19","X32"
0,"X19","X33"
0,"X19","X34"
0,"X19","X35"
0,"X19","X36"
0,"X19","X37"
0,"X19","X38"
0,"X19","X40"
0,"X21","X22"
0,"X21","X24"
0,"X21","X25"
0,"X21","X26"
0,"X21","X27"
0,"X21","X28"
0,"X21","X30"
0,"X21","X31"
0,"X21","X32"
0,"X21","X33"
0,"X21","X34"
0,"X21","X35"
0,"X21","X36"
0,"X21","X37"
0,"X21","X38"
0,"X21","X40"
0,"X22","X24"
0,"X22","X25"
0,"X22","X26"
0,"X22","X27"
0,"X22","X28"
0,"X22","X30"
0,"X22","X31"
0,"X22","X32"
0,"X22","X33"
0,"X22","X34"
0,"X22","X35"
0,"X22","X36"
0,"X22","X37"
0,"X22","X38"
0,"X22","X40"
0,"X24","X25"
0,"X24","X26"
0,"X24","X27"
0,"X24","X28"
0,"X24","X30"
0,"X24","X31"
0,"X24","X32"
0,"X24","X33"
0,"X24","X34"
0,"X24","X35"
0,"X24","X36"
0,"X24","X37"
0,"X24","X38"
0,"X24","X40"
0,"X25","X26"
0,"X25","X27"
0,"X25","X28"
0,"X25","X30"
0,"X25","X31"
0,"X25","X32"
0,"X25","X33"
0,"X25","X34"
0,"X25","X35"
0,"X25","X36"
0,"X25","X37"
0,"X25","X38"
0,"X25","X40"
0,"X26","X27"
0,"X26","X28"
0,"X26","X30"
0,"X26","X31"
0,"X26","X32"
0,"X26","X33"
0,"X26","X34"
0,"X26","X35"
0,"X26","X36"
0,"X26","X37"
0,"X26","X38"
0,"X26","X40"
0,"X27","X28"
0,"X27","X30"
0,"X27","X31"
0,"X27","X32"
0,"X27","X33"
0,"X27","X34"
0,"X27","X35"
0,"X27","X36"
0,"X27","X37"
0,"X27","X38"
0,"X27","X40"
0,"X28","X30"
0,"X28","X31"
0,"X28","X32"
0,"X28","X33"
0,"X28","X34"
0,"X28","X35"
0,"X28","X36"
0,"X28","X37"
0,"X28","X38"
0,"X28","X40"
0,"X30","X31"
0,"X30","X32"
0,"X30","X33"
0,"X30","X34"
0,"X30","X35"
0,"X30","X36"
0,"X30","X37"
0,"X30","X38"
0,"X30","X40"
0,"X31","X32"
0,"X31","X33"
0,"X31","X34"
0,"X31","X35"
0,"X31","X36"
0,"X31","X37"
0,"X31","X38"
0,"X31","X40"
0,"X32","X33"
0,"X32","X34"
0,"X32","X35"
0,"X32","X36"
0,"X32","X37"
0,"X32","X38"
0,"X32","X40"
0,"X33","X34"
0,"X33","X35"
0,"X33","X36"
0,"X33","X37"
0,"X33","X38"
0,"X33","X40"
0,"X34","X35"
0,"X34","X36"
0,"X34","X37"
0,"X34","X38"
0,"X34","X40"
0,"X35","X36"
0,"X35","X37"
0,"X35","X38"
0,"X35","X40"
0,"X36","X37"
0,"X36","X38"
0,"X36","X40"
0,"X37","X38"
0,"X37","X40"
0,"X38","X40"
