"Preference Share","1 Item","2 Item","3 Item"
0.313177184134119,"X7","X23","X29"
0.313177184134119,"X8","X23","X29"
0.313177184134119,"X10","X23","X29"
0.313177184134119,"X11","X23","X29"
0.313177184134119,"X14","X23","X29"
0.313177184134119,"X15","X23","X29"
0.313177184134119,"X16","X23","X29"
0.313177184134119,"X17","X23","X29"
0.313177184134119,"X19","X23","X29"
0.313177184134119,"X21","X23","X29"
0.313177184134119,"X22","X23","X29"
0.313177184134119,"X23","X24","X29"
0.313177184134119,"X23","X25","X29"
0.313177184134119,"X23","X26","X29"
0.313177184134119,"X23","X27","X29"
0.313177184134119,"X23","X28","X29"
0.313177184134119,"X23","X29","X30"
0.313177184134119,"X23","X29","X31"
0.313177184134119,"X23","X29","X32"
0.313177184134119,"X23","X29","X33"
0.313177184134119,"X23","X29","X34"
0.313177184134119,"X23","X29","X35"
0.313177184134119,"X23","X29","X36"
0.313177184134119,"X23","X29","X37"
0.313177184134119,"X23","X29","X38"
0.313177184134119,"X23","X29","X40"
0.311765169935821,"X12","X29","X39"
0.308084733259556,"X9","X18","X39"
0.30789763130679,"X1","X3","X23"
0.30789763130679,"X2","X3","X23"
0.30789763130679,"X3","X4","X23"
0.30789763130679,"X3","X6","X23"
0.30789763130679,"X3","X7","X23"
0.30789763130679,"X3","X8","X23"
0.30789763130679,"X3","X10","X23"
0.30789763130679,"X3","X11","X23"
0.30789763130679,"X3","X14","X23"
0.30789763130679,"X3","X15","X23"
0.30789763130679,"X3","X16","X23"
0.30789763130679,"X3","X17","X23"
0.30789763130679,"X3","X19","X23"
0.30789763130679,"X3","X21","X23"
0.30789763130679,"X3","X22","X23"
0.30789763130679,"X3","X23","X24"
0.30789763130679,"X3","X23","X25"
0.30789763130679,"X3","X23","X26"
0.30789763130679,"X3","X23","X27"
0.30789763130679,"X3","X23","X28"
0.30789763130679,"X3","X23","X30"
0.30789763130679,"X3","X23","X31"
0.30789763130679,"X3","X23","X32"
0.30789763130679,"X3","X23","X33"
0.30789763130679,"X3","X23","X34"
0.30789763130679,"X3","X23","X35"
0.30789763130679,"X3","X23","X36"
0.30789763130679,"X3","X23","X37"
0.30789763130679,"X3","X23","X38"
0.30789763130679,"X3","X23","X40"
0.307448324664271,"X13","X18","X39"
0.303913750893613,"X3","X9","X13"
0.303267844287442,"X3","X13","X18"
0.301643070145256,"X9","X13","X20"
0.300418672222459,"X3","X12","X13"
0.298436717879712,"X1","X13","X23"
0.298436717879712,"X2","X13","X23"
0.298436717879712,"X4","X13","X23"
0.298436717879712,"X6","X13","X23"
0.298436717879712,"X7","X13","X23"
0.298436717879712,"X8","X13","X23"
0.298436717879712,"X10","X13","X23"
0.298436717879712,"X11","X13","X23"
0.298436717879712,"X13","X14","X23"
0.298436717879712,"X13","X15","X23"
0.298436717879712,"X13","X16","X23"
0.298436717879712,"X13","X17","X23"
0.298436717879712,"X13","X19","X23"
0.298436717879712,"X13","X21","X23"
0.298436717879712,"X13","X22","X23"
0.298436717879712,"X13","X23","X24"
0.298436717879712,"X13","X23","X25"
0.298436717879712,"X13","X23","X26"
0.298436717879712,"X13","X23","X27"
0.298436717879712,"X13","X23","X28"
0.298436717879712,"X13","X23","X30"
0.298436717879712,"X13","X23","X31"
0.298436717879712,"X13","X23","X32"
0.298436717879712,"X13","X23","X33"
0.298436717879712,"X13","X23","X34"
0.298436717879712,"X13","X23","X35"
0.298436717879712,"X13","X23","X36"
0.298436717879712,"X13","X23","X37"
0.298436717879712,"X13","X23","X38"
0.298436717879712,"X13","X23","X40"
0.296807549164004,"X5","X9","X13"
0.295723460763872,"X9","X12","X20"
0.295717448176556,"X1","X3","X39"
0.295717448176556,"X2","X3","X39"
0.295717448176556,"X3","X4","X39"
0.295717448176556,"X3","X6","X39"
0.295717448176556,"X3","X7","X39"
0.295717448176556,"X3","X8","X39"
0.295717448176556,"X3","X10","X39"
0.295717448176556,"X3","X11","X39"
0.295717448176556,"X3","X14","X39"
0.295717448176556,"X3","X15","X39"
0.295717448176556,"X3","X16","X39"
0.295717448176556,"X3","X17","X39"
0.295717448176556,"X3","X19","X39"
0.295717448176556,"X3","X21","X39"
0.295717448176556,"X3","X22","X39"
0.295717448176556,"X3","X24","X39"
0.295717448176556,"X3","X25","X39"
0.295717448176556,"X3","X26","X39"
0.295717448176556,"X3","X27","X39"
0.295717448176556,"X3","X28","X39"
0.295717448176556,"X3","X30","X39"
0.295717448176556,"X3","X31","X39"
0.295717448176556,"X3","X32","X39"
0.295717448176556,"X3","X33","X39"
0.295717448176556,"X3","X34","X39"
0.295717448176556,"X3","X35","X39"
0.295717448176556,"X3","X36","X39"
0.295717448176556,"X3","X37","X39"
0.295717448176556,"X3","X38","X39"
0.295717448176556,"X3","X39","X40"
0.294914599673715,"X9","X12","X39"
0.294825265994505,"X3","X12","X18"
0.294612329612354,"X5","X9","X20"
0.292623064024976,"X3","X9","X12"
0.292439554832005,"X9","X20","X29"
0.29208061257306,"X5","X9","X12"
0.29032466833066,"X9","X13","X29"
0.289066965516587,"X3","X9","X18"
0.288557623832272,"X12","X13","X20"
0.288202518441321,"X13","X18","X20"
