id,weight,KV1,KV2,KV3,KV4,KV5,KV6,KV7,KV8,KV9,KV10,KV11,KV12,KV13,KV14,KV15,KV16,KV17,KV18,KV19,none
112,1,0.56893934,0.08977764,0.18875895,-0.45055994,0.49698192,0.31263803,-0.21622438,-0.63743146,-0.34818306,-0.5509373,-1.22143548,-0.95884498,-0.45284741,-1.21610076,0.55414593,1.21337777,0.52523327,1.21422544,0.88848648,-0.86793733
117,1,0.52651684,0.4686292,1.35049038,-1.79640197,-0.44458456,-1.25250231,-1.40586427,-1.0980057,0.73458582,0.08818344,-1.08471522,0.43523022,-0.50747246,0.77430205,0.85160339,0.72333439,0.67512144,0.85144416,0.11010516,-0.09491685
123,1,-0.86099245,-0.19176896,0.05762033,-0.65150529,-1.11057626,-1.02862696,-0.06528577,-1.02396076,1.30915742,-0.83400839,-0.77768221,0.22952155,-0.55298394,0.40209036,0.0474953,1.5790968,1.34393218,1.21182643,0.91665062,-0.92240909
143,1,0.22595292,0.58486834,0.8284031,-1.59893457,-1.62099036,-1.0961497,-1.29764282,-0.5694124,0.16962632,0.11808333,0.54668721,-0.25379056,0.57306245,0.32709524,1.03082444,1.49266666,0.63788827,-0.59040665,0.49216878,-0.10003645
148,1,1.23087431,0.11702301,0.98264835,-1.84680777,-1.05231321,-1.11463904,-1.15462516,-0.96739269,1.26119027,0.35227535,0.07568103,0.01671219,0.42943559,-0.45656922,0.81596367,0.05847715,0.16343173,0.29150941,0.79712503,-1.52144471
149,1,0.54665545,1.05795244,0.21231816,-1.08600704,-0.20865727,0.61817539,-0.80524188,-0.06254898,-0.83445691,-0.0321958,0.6695709,-0.91618057,-0.72546374,-0.20554448,-0.46644959,0.50211302,0.61419054,-0.28661802,1.40838838,0.59600936
156,1,0.62560002,0.36199924,0.81310342,-1.38563477,-1.13611953,-1.46198514,-1.42262688,-0.99163081,1.22506913,0.2579495,-1.28810972,0.1428946,0.2392888,-0.10120771,0.56808731,0.64900853,1.63717042,-0.25131791,1.5184615,-0.93913317
163,1,0.59911383,0.47480504,1.08676198,-1.58409193,-0.92150854,-0.57453466,-1.22499164,-1.37536798,0.80105159,0.39307362,0.08581575,-0.06234266,0.46895284,0.4631922,-0.19434189,0.94175181,0.41362203,-0.17343554,0.38247415,-13.98450076
164,1,-0.10268942,0.63620195,0.06409722,0.28982014,-0.13409035,0.22746495,-0.88410906,-1.50148325,1.46425503,-0.92492034,-0.90996659,-0.15116151,-0.61350129,-0.02120112,0.20763237,1.54546344,1.57818842,-0.17006512,-0.59993547,-0.63491532
166,1,0.79394714,-0.02977889,0.70791354,0.13976816,-1.21970652,-1.43600395,-1.08528329,-1.1983011,0.74612799,-0.19609772,0.38320899,-0.49491753,-0.26691102,-0.71399969,-0.6228319,1.68243417,0.76402721,0.53392793,1.51247648,0.90859631
168,1,0.58113876,0.23119074,0.22312023,-0.59652111,-1.17723955,-0.92901811,-0.9259749,-1.00664479,1.18175085,0.58284698,-0.9716081,-1.3811475,0.67154033,-0.70509825,-1.30929567,1.47310163,1.69957526,1.12500859,1.23327461,-0.41227603
173,1,-0.3739421,-0.05572102,0.1788626,-2.01507236,-0.73343111,-0.09551864,-0.74716964,-0.90570824,0.17735651,-0.06549739,0.5607603,-0.22958864,-0.13131685,0.83565455,0.5951498,0.36283727,1.41015774,0.68607324,0.54611398,-2.36158933
179,1,0.60771733,0.36229632,0.96399403,-1.77218017,-0.10840775,-0.85983173,0.29311409,0.43949904,-0.46048484,-0.2671691,-0.21910838,-0.54492922,-0.19590857,-0.53230438,-0.45117765,1.41695137,0.57192678,-0.02334002,0.77934285,-0.85303452
193,1,0.5592878,-0.19360637,-0.40724594,-1.61699397,-1.07995534,-1.15431388,-1.37405169,-1.38150259,0.2031147,0.11508703,0.69448751,-1.16198745,0.41088372,0.82374423,0.51681817,0.76087203,1.51942081,1.24538919,1.52055204,0.40780485
